00224 A311    1 Cutaneous mycobacterial infection                            Cutaneous mycobacterial infection
00225 A312    1 Dissem mycobacterium avium-intracellulare complex (DMAC)     Disseminated mycobacterium avium-intracellulare complex (DMAC)
00226 A318    1 Other mycobacterial infections                               Other mycobacterial infections
00227 A319    1 Mycobacterial infection, unspecified                         Mycobacterial infection, unspecified
00228 A32     0 Listeriosis                                                  Listeriosis
00229 A320    1 Cutaneous listeriosis                                        Cutaneous listeriosis
00230 A321    0 Listerial meningitis and meningoencephalitis                 Listerial meningitis and meningoencephalitis
00231 A3211   1 Listerial meningitis                                         Listerial meningitis
00232 A3212   1 Listerial meningoencephalitis                                Listerial meningoencephalitis
00233 A327    1 Listerial sepsis                                             Listerial sepsis
00234 A328    0 Other forms of listeriosis                                   Other forms of listeriosis
00235 A3281   1 Oculoglandular listeriosis                                   Oculoglandular listeriosis
00236 A3282   1 Listerial endocarditis                                       Listerial endocarditis
00237 A3289   1 Other forms of listeriosis                                   Other forms of listeriosis
00238 A329    1 Listeriosis, unspecified                                     Listeriosis, unspecified
00239 A33     1 Tetanus neonatorum                                           Tetanus neonatorum
00240 A34     1 Obstetrical tetanus                                          Obstetrical tetanus
00241 A35     1 Other tetanus                                                Other tetanus
00242 A36     0 Diphtheria                                                   Diphtheria
00243 A360    1 Pharyngeal diphtheria                                        Pharyngeal diphtheria
00244 A361    1 Nasopharyngeal diphtheria                                    Nasopharyngeal diphtheria
00245 A362    1 Laryngeal diphtheria                                         Laryngeal diphtheria
00246 A363    1 Cutaneous diphtheria                                         Cutaneous diphtheria
00247 A368    0 Other diphtheria                                             Other diphtheria
00248 A3681   1 Diphtheritic cardiomyopathy                                  Diphtheritic cardiomyopathy
00249 A3682   1 Diphtheritic radiculomyelitis                                Diphtheritic radiculomyelitis
00250 A3683   1 Diphtheritic polyneuritis                                    Diphtheritic polyneuritis
00251 A3684   1 Diphtheritic tubulo-interstitial nephropathy                 Diphtheritic tubulo-interstitial nephropathy
00252 A3685   1 Diphtheritic cystitis                                        Diphtheritic cystitis
00253 A3686   1 Diphtheritic conjunctivitis                                  Diphtheritic conjunctivitis
00254 A3689   1 Other diphtheritic complications                             Other diphtheritic complications
00255 A369    1 Diphtheria, unspecified                                      Diphtheria, unspecified
00256 A37     0 Whooping cough                                               Whooping cough
00257 A370    0 Whooping cough due to Bordetella pertussis                   Whooping cough due to Bordetella pertussis
00258 A3700   1 Whooping cough due to Bordetella pertussis without pneumonia Whooping cough due to Bordetella pertussis without pneumonia
00259 A3701   1 Whooping cough due to Bordetella pertussis with pneumonia    Whooping cough due to Bordetella pertussis with pneumonia
00260 A371    0 Whooping cough due to Bordetella parapertussis               Whooping cough due to Bordetella parapertussis
00261 A3710   1 Whooping cough due to Bordetella parapertussis w/o pneumonia Whooping cough due to Bordetella parapertussis without pneumonia
00262 A3711   1 Whooping cough due to Bordetella parapertussis w pneumonia   Whooping cough due to Bordetella parapertussis with pneumonia
00263 A378    0 Whooping cough due to other Bordetella species               Whooping cough due to other Bordetella species
00264 A3780   1 Whooping cough due to other Bordetella species w/o pneumonia Whooping cough due to other Bordetella species without pneumonia
00265 A3781   1 Whooping cough due to oth Bordetella species with pneumonia  Whooping cough due to other Bordetella species with pneumonia
00266 A379    0 Whooping cough, unspecified species                          Whooping cough, unspecified species
00267 A3790   1 Whooping cough, unspecified species without pneumonia        Whooping cough, unspecified species without pneumonia
00268 A3791   1 Whooping cough, unspecified species with pneumonia           Whooping cough, unspecified species with pneumonia
00269 A38     0 Scarlet fever                                                Scarlet fever
00270 A380    1 Scarlet fever with otitis media                              Scarlet fever with otitis media
00271 A381    1 Scarlet fever with myocarditis                               Scarlet fever with myocarditis
00272 A388    1 Scarlet fever with other complications                       Scarlet fever with other complications
00273 A389    1 Scarlet fever, uncomplicated                                 Scarlet fever, uncomplicated
00274 A39     0 Meningococcal infection                                      Meningococcal infection
00275 A390    1 Meningococcal meningitis                                     Meningococcal meningitis
00276 A391    1 Waterhouse-Friderichsen syndrome                             Waterhouse-Friderichsen syndrome
00277 A392    1 Acute meningococcemia                                        Acute meningococcemia
00278 A393    1 Chronic meningococcemia                                      Chronic meningococcemia
00279 A394    1 Meningococcemia, unspecified                                 Meningococcemia, unspecified
00280 A395    0 Meningococcal heart disease                                  Meningococcal heart disease
00281 A3950   1 Meningococcal carditis, unspecified                          Meningococcal carditis, unspecified
00282 A3951   1 Meningococcal endocarditis                                   Meningococcal endocarditis
00283 A3952   1 Meningococcal myocarditis                                    Meningococcal myocarditis
00284 A3953   1 Meningococcal pericarditis                                   Meningococcal pericarditis
00285 A398    0 Other meningococcal infections                               Other meningococcal infections
00286 A3981   1 Meningococcal encephalitis                                   Meningococcal encephalitis
00287 A3982   1 Meningococcal retrobulbar neuritis                           Meningococcal retrobulbar neuritis
00288 A3983   1 Meningococcal arthritis                                      Meningococcal arthritis
00289 A3984   1 Postmeningococcal arthritis                                  Postmeningococcal arthritis
00290 A3989   1 Other meningococcal infections                               Other meningococcal infections
00291 A399    1 Meningococcal infection, unspecified                         Meningococcal infection, unspecified
00292 A40     0 Streptococcal sepsis                                         Streptococcal sepsis
00293 A400    1 Sepsis due to streptococcus, group A                         Sepsis due to streptococcus, group A
00294 A401    1 Sepsis due to streptococcus, group B                         Sepsis due to streptococcus, group B
00295 A403    1 Sepsis due to Streptococcus pneumoniae                       Sepsis due to Streptococcus pneumoniae
00296 A408    1 Other streptococcal sepsis                                   Other streptococcal sepsis
00297 A409    1 Streptococcal sepsis, unspecified                            Streptococcal sepsis, unspecified
00298 A41     0 Other sepsis                                                 Other sepsis
00299 A410    0 Sepsis due to Staphylococcus aureus                          Sepsis due to Staphylococcus aureus
00300 A4101   1 Sepsis due to Methicillin susceptible Staphylococcus aureus  Sepsis due to Methicillin susceptible Staphylococcus aureus
00301 A4102   1 Sepsis due to Methicillin resistant Staphylococcus aureus    Sepsis due to Methicillin resistant Staphylococcus aureus
00302 A411    1 Sepsis due to other specified staphylococcus                 Sepsis due to other specified staphylococcus
00303 A412    1 Sepsis due to unspecified staphylococcus                     Sepsis due to unspecified staphylococcus
00304 A413    1 Sepsis due to Hemophilus influenzae                          Sepsis due to Hemophilus influenzae
00305 A414    1 Sepsis due to anaerobes                                      Sepsis due to anaerobes
00306 A415    0 Sepsis due to other Gram-negative organisms                  Sepsis due to other Gram-negative organisms
00307 A4150   1 Gram-negative sepsis, unspecified                            Gram-negative sepsis, unspecified
00308 A4151   1 Sepsis due to Escherichia coli [E. coli]                     Sepsis due to Escherichia coli [E. coli]
00309 A4152   1 Sepsis due to Pseudomonas                                    Sepsis due to Pseudomonas
00310 A4153   1 Sepsis due to Serratia                                       Sepsis due to Serratia
00311 A4154   1 Sepsis due to Acinetobacter baumannii                        Sepsis due to Acinetobacter baumannii
00312 A4159   1 Other Gram-negative sepsis                                   Other Gram-negative sepsis
00313 A418    0 Other specified sepsis                                       Other specified sepsis
00314 A4181   1 Sepsis due to Enterococcus                                   Sepsis due to Enterococcus
00315 A4189   1 Other specified sepsis                                       Other specified sepsis
00316 A419    1 Sepsis, unspecified organism                                 Sepsis, unspecified organism
00317 A42     0 Actinomycosis                                                Actinomycosis
00318 A420    1 Pulmonary actinomycosis                                      Pulmonary actinomycosis
00319 A421    1 Abdominal actinomycosis                                      Abdominal actinomycosis
00320 A422    1 Cervicofacial actinomycosis                                  Cervicofacial actinomycosis
00321 A427    1 Actinomycotic sepsis                                         Actinomycotic sepsis
00322 A428    0 Other forms of actinomycosis                                 Other forms of actinomycosis
00323 A4281   1 Actinomycotic meningitis                                     Actinomycotic meningitis
00324 A4282   1 Actinomycotic encephalitis                                   Actinomycotic encephalitis
00325 A4289   1 Other forms of actinomycosis                                 Other forms of actinomycosis
00326 A429    1 Actinomycosis, unspecified                                   Actinomycosis, unspecified
00327 A43     0 Nocardiosis                                                  Nocardiosis
00328 A430    1 Pulmonary nocardiosis                                        Pulmonary nocardiosis
00329 A431    1 Cutaneous nocardiosis                                        Cutaneous nocardiosis
00330 A438    1 Other forms of nocardiosis                                   Other forms of nocardiosis
00331 A439    1 Nocardiosis, unspecified                                     Nocardiosis, unspecified
00332 A44     0 Bartonellosis                                                Bartonellosis
00333 A440    1 Systemic bartonellosis                                       Systemic bartonellosis
00334 A441    1 Cutaneous and mucocutaneous bartonellosis                    Cutaneous and mucocutaneous bartonellosis
00335 A448    1 Other forms of bartonellosis                                 Other forms of bartonellosis
00336 A449    1 Bartonellosis, unspecified                                   Bartonellosis, unspecified
00337 A46     1 Erysipelas                                                   Erysipelas
00338 A48     0 Other bacterial diseases, not elsewhere classified           Other bacterial diseases, not elsewhere classified
00339 A480    1 Gas gangrene                                                 Gas gangrene
00340 A481    1 Legionnaires' disease                                        Legionnaires' disease
00341 A482    1 Nonpneumonic Legionnaires' disease [Pontiac fever]           Nonpneumonic Legionnaires' disease [Pontiac fever]
00342 A483    1 Toxic shock syndrome                                         Toxic shock syndrome
00343 A484    1 Brazilian purpuric fever                                     Brazilian purpuric fever
00344 A485    0 Other specified botulism                                     Other specified botulism
00345 A4851   1 Infant botulism                                              Infant botulism
00346 A4852   1 Wound botulism                                               Wound botulism
00347 A488    1 Other specified bacterial diseases                           Other specified bacterial diseases
00348 A49     0 Bacterial infection of unspecified site                      Bacterial infection of unspecified site
00349 A490    0 Staphylococcal infection, unspecified site                   Staphylococcal infection, unspecified site
00350 A4901   1 Methicillin suscep staph infection, unsp site                Methicillin susceptible Staphylococcus aureus infection, unspecified site
00351 A4902   1 Methicillin resis staph infection, unsp site                 Methicillin resistant Staphylococcus aureus infection, unspecified site
00352 A491    1 Streptococcal infection, unspecified site                    Streptococcal infection, unspecified site
00353 A492    1 Hemophilus influenzae infection, unspecified site            Hemophilus influenzae infection, unspecified site
00354 A493    1 Mycoplasma infection, unspecified site                       Mycoplasma infection, unspecified site
00355 A498    1 Other bacterial infections of unspecified site               Other bacterial infections of unspecified site
00356 A499    1 Bacterial infection, unspecified                             Bacterial infection, unspecified
00357 A50     0 Congenital syphilis                                          Congenital syphilis
00358 A500    0 Early congenital syphilis, symptomatic                       Early congenital syphilis, symptomatic
00359 A5001   1 Early congenital syphilitic oculopathy                       Early congenital syphilitic oculopathy
00360 A5002   1 Early congenital syphilitic osteochondropathy                Early congenital syphilitic osteochondropathy
00361 A5003   1 Early congenital syphilitic pharyngitis                      Early congenital syphilitic pharyngitis
00362 A5004   1 Early congenital syphilitic pneumonia                        Early congenital syphilitic pneumonia
00363 A5005   1 Early congenital syphilitic rhinitis                         Early congenital syphilitic rhinitis
00364 A5006   1 Early cutaneous congenital syphilis                          Early cutaneous congenital syphilis
00365 A5007   1 Early mucocutaneous congenital syphilis                      Early mucocutaneous congenital syphilis
00366 A5008   1 Early visceral congenital syphilis                           Early visceral congenital syphilis
00367 A5009   1 Other early congenital syphilis, symptomatic                 Other early congenital syphilis, symptomatic
00368 A501    1 Early congenital syphilis, latent                            Early congenital syphilis, latent
00369 A502    1 Early congenital syphilis, unspecified                       Early congenital syphilis, unspecified
00370 A503    0 Late congenital syphilitic oculopathy                        Late congenital syphilitic oculopathy
00371 A5030   1 Late congenital syphilitic oculopathy, unspecified           Late congenital syphilitic oculopathy, unspecified
